"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"KP";"DTS-6";"DTS-6";"DTS-6";"";"";"";"";"";"";"";
"KQ";"DTS-6";"DTS-6";"DTS-6";"";"";"";"";"";"";"";
"KR";"DTS-6";"DTS-6";"DTS-6";"";"";"";"";"";"";"";
"KS";"DTS-6";"DTS-6";"DTS-6";"";"";"";"";"";"";"";
"KSPACE";"DTS-6";"DTS-6";"DTS-6";"";"";"";"";"";"";"";
"KSYM";"DTS-6";"DTS-6";"DTS-6";"";"";"";"";"";"";"";
"KT";"DTS-6";"DTS-6";"DTS-6";"";"";"";"";"";"";"";
"KU";"DTS-6";"DTS-6";"DTS-6";"";"";"";"";"";"";"";
"KV";"DTS-6";"DTS-6";"DTS-6";"";"";"";"";"";"";"";
"KW";"DTS-6";"DTS-6";"DTS-6";"";"";"";"";"";"";"";
"KX";"DTS-6";"DTS-6";"DTS-6";"";"";"";"";"";"";"";
"KY";"DTS-6";"DTS-6";"DTS-6";"";"";"";"";"";"";"";
"KZ";"DTS-6";"DTS-6";"DTS-6";"";"";"";"";"";"";"";
"LED1";"STAT1-ORANGE";"LED0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";
"LED2";"STAT2-GREEN";"LED0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";
"LED3";"Power-RED";"LED0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";
"Q1";"14MHz";"CRYSTALCTS406";"CTS406";"CRYSTAL";"";"";"unknown";"unknown";"";"";
"Q2";"4.43MHz";"CRYSTALHC49S";"HC49/S";"CRYSTAL";"";"";"1667008";"unknown";"";"";
"R1";"470";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R2";"470";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R3";"470";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R4";"470";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R5";"470";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R6";"470";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R7";"470";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R8";"470";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R9";"8K2";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R10";"8K2";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R11";"8K2";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R12";"8K2";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R13";"8K2";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R14";"8K2";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R15";"8K2";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R16";"8K2";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R17";"680";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R18";"680";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R19";"680";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R20";"680";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R21";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R22";"680";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R23";"680";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R24";"680";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R25";"330";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R26";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R27";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R28";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R29";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R30";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R31";"180";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R32";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R33";"470";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R34";"150";"RESISTOR0805";"0805";"Resistors";"";"";"";"";"";"";
"R35";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R36";"680";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R37";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R38";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R39";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R40";"470";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R41";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R42";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R43";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R44";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R45";"5k1";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R46";"3k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R47";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R48";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R49";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R50";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R51";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R52";"15";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R53";"2k2";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R54";"2k2";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R55";"390";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R56";"4k7";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R57";"2k2";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R58";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R59";"220k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R60";"1k5";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R61";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R62";"1k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R63";"150";"RESISTOR0805";"0805";"Resistors";"";"";"";"";"";"";
"R64";"470";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R65";"15";"R-US_R1210";"R1210";"RESISTOR, American symbol";"";"";"";"";"";"";
"R66";"150";"RESISTOR0805";"0805";"Resistors";"";"";"";"";"";"";
"R67";"PROG";"RESISTOR_DUAL";"0805-THM";"Flip Flop resistor";"";"";"";"";"";"";
"R68";"10K/THERM";"R-US_FLIPFLOP";"0805-THM";"RESISTOR, American symbol";"";"";"";"";"";"";
"REGS";"";"MA04-1";"MA04-1";"PIN HEADER";"";"";"unknown";"unknown";"";"";
"ROMS";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"";"";
"RST";"DTS-6";"DTS-6";"DTS-6";"";"";"";"";"";"";"";
"RT1";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"RT2";"150K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"SPKR";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";
"T1";"BC847";"BC847";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";"";
"T2";"4401";"MMBT4401LT1-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"";"";"";"";"";"";
"T3";"4401";"MMBT4401LT1-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"";"";"";"";"";"";
"T4";"BC847";"BC847";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";"";
"T5";"4401";"MMBT4401LT1-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"";"";"";"";"";"";
"T6";"4401";"MMBT4401LT1-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"";"";"";"";"";"";
"T7";"4401";"MMBT4401LT1-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"";"";"";"";"";"";
"U$1";"MC74HC574A";"MC74HC574A";"SO20W";"Octal 3-State Noninverting D Flip Flop";"";"";"";"";"";"";
"U$2";"LM1889";"LM1889";"SOCKET-18";"LM1889 TV Video Modulator";"";"";"";"";"";"";
"U$3";"MS12ASW30_01";"MS12ASW30_01";"MS12ASG30_01";"";"";"";"";"";"";"";
"U1";"MCP73833-FCI/UN";"MCP73833-FCI/UN";"SOP50P490X110-10N";"LI-ION/LI-POLY CONTROLLERS";"";"MCP73833-FCI/UN";"1605576";"88K5666";"MSOP10";"Microchip";
"ULA";"";"ZXULA";"DIL40";"ZX Spectrum Custom ULA";"";"";"";"";"";"";
"ULA_RAM";"CY62256LL-SNXI";"CY62256LL-SNXI";"SOJ28/3";"256K (32K x 8) CMOS-Static RAM";"";"";"";"";"";"";
"VID";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";
"VPOW";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";
"Z80A";"";"Z80CPU";"DIL40";"Z80 FAMILY DEVICE";"";"";"";"";"";"";
